Unnamed: 0_x,station,总流量,高峰流量,平峰流量,Unnamed: 0.1,treat,count,车相关,商务住宅,生活服务,购物服务,餐饮服务,科教文化服务,公共设施,政府机构及社会团体,体育休闲服务,医疗保健服务,风景名胜,金融保险服务,住宿服务,Unnamed: 0_y,pop
22910,2018_金湾西乡大道路口,1598.0,998.0,600.0,4414.0,False,48.0,34.0,6.0,0.0,2.0,2.0,2.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,4487,9535.0
22911,2018_金源第三小区,4842.0,2696.0,2146.0,4278.0,True,283.0,34.0,40.0,37.0,47.0,30.0,6.0,71.0,19.0,7.0,8.0,0.0,4.0,12.0,4306,3539.0
22912,2018_金牛创景路口,554.0,308.0,246.0,3083.0,False,69.0,2.0,21.0,9.0,7.0,2.0,2.0,18.0,0.0,2.0,3.0,0.0,2.0,2.0,3112,114.0
22913,2018_金瑞中核,10.0,4.0,6.0,8318.0,False,400.0,40.0,53.0,31.0,112.0,44.0,15.0,106.0,6.0,7.0,19.0,3.0,8.0,15.0,8591,6071.0
22914,2018_金田学校,762.0,516.0,246.0,5332.0,False,164.0,14.0,27.0,25.0,24.0,23.0,5.0,46.0,0.0,0.0,5.0,3.0,6.0,0.0,5460,1279.0
22915,2018_金田购物广场,686.0,466.0,220.0,3215.0,False,188.0,10.0,14.0,23.0,48.0,28.0,10.0,44.0,2.0,1.0,8.0,0.0,8.0,7.0,3244,2548.0
22916,2018_金盈新村,5524.0,3252.0,2272.0,4799.0,False,621.0,34.0,56.0,29.0,200.0,95.0,11.0,212.0,15.0,17.0,17.0,0.0,24.0,16.0,4916,11372.0
22917,2018_金碧东纵路口,2580.0,1402.0,1178.0,3107.0,False,421.0,28.0,58.0,38.0,120.0,55.0,14.0,80.0,6.0,7.0,11.0,0.0,11.0,9.0,3136,4041.0
22918,2018_金碧工业园,798.0,482.0,316.0,4155.0,True,417.0,16.0,41.0,66.0,42.0,49.0,8.0,155.0,18.0,9.0,15.0,2.0,10.0,22.0,4184,26120.0
22919,2018_金积嘉科技园,11936.0,6820.0,5116.0,1406.0,False,173.0,0.0,26.0,14.0,20.0,13.0,9.0,43.0,25.0,8.0,12.0,2.0,3.0,3.0,1418,1782.0
