treat,总流量,高峰流量,平均乘距,生活类,休闲类,文化类,商务类,设施类,人口
False,28.0,18.0,830.8702730385908,66.0,132.0,5.0,9.0,10.0,2623.0
True,8994.0,5130.0,1003.6871928982767,227.0,305.0,30.0,70.0,74.0,1566.0
False,21232.0,11702.0,2986.7440573022936,220.0,271.0,24.0,62.0,58.0,1354.0
False,14474.0,7464.0,1245.6022407635082,55.0,117.0,15.0,26.0,30.0,823.0
True,4146.0,2302.0,1595.7942513790576,0.0,7.0,3.0,3.0,14.0,2761.0
False,5084.0,2840.0,2082.064133126359,93.0,248.0,12.0,15.0,8.0,7504.0
False,5106.0,2898.0,5015.061861192096,67.0,199.0,14.0,21.0,10.0,3533.0
True,2056.0,1300.0,1145.6940138984355,18.0,27.0,3.0,12.0,24.0,2006.0
True,926.0,686.0,694.8382625634595,13.0,31.0,4.0,15.0,22.0,1680.0
True,11386.0,6344.0,6691.1332416297855,10.0,5.0,0.0,12.0,36.0,6475.0
True,1212.0,774.0,2312.542191487063,28.0,63.0,1.0,20.0,22.0,8447.0
False,5154.0,2960.0,1920.544438159231,188.0,478.0,21.0,92.0,48.0,3352.0
True,18092.0,9542.0,4899.6873949542205,32.0,23.0,1.0,11.0,18.0,10144.0
False,1824.0,944.0,4660.345341040772,190.0,691.0,30.0,18.0,8.0,11698.0
False,28664.0,15532.0,7544.949533883425,67.0,900.0,14.0,18.0,32.0,8539.0
False,3026.0,1694.0,2000.1988747185887,42.0,104.0,9.0,7.0,20.0,2124.0
False,788.0,472.0,1463.7011666565709,80.0,283.0,33.0,16.0,14.0,2939.0
False,1278.0,746.0,1699.8316636557402,52.0,168.0,19.0,59.0,16.0,5874.0
True,36454.0,20976.0,5849.163113621331,183.0,212.0,14.0,35.0,64.0,2078.0
True,2534.0,1494.0,6919.872359006386,167.0,221.0,9.0,40.0,60.0,2400.0
False,1844.0,1332.0,1130.989492438618,13.0,28.0,1.0,9.0,6.0,4452.0
False,432.0,212.0,1995.8709873889009,130.0,364.0,19.0,10.0,6.0,4398.0
False,2544.0,1604.0,1323.542683595498,118.0,163.0,12.0,100.0,66.0,11977.0
False,13034.0,6816.0,2920.5710221320023,37.0,77.0,6.0,6.0,12.0,4438.0
False,31256.0,17176.0,5300.833681249518,68.0,236.0,34.0,64.0,36.0,7823.0
False,37492.0,20276.0,2664.8225691057214,0.0,5.0,5.0,9.0,4.0,6425.0
False,6340.0,3992.0,729.7721815177258,0.0,3.0,1.0,3.0,0.0,6738.0
False,14388.0,7534.0,2977.064180875313,35.0,101.0,9.0,15.0,22.0,2177.0
