Unnamed: 0_x,station,总流量,高峰流量,平峰流量,Unnamed: 0.1,treat,count,车相关,商务住宅,生活服务,购物服务,餐饮服务,科教文化服务,公共设施,政府机构及社会团体,体育休闲服务,医疗保健服务,风景名胜,金融保险服务,住宿服务,Unnamed: 0_y,pop,站点,平均乘距,year,station_name,cos_theta,cos_abs
37,2015_万汇百货,84.0,64.0,20.0,7875.0,False,448.0,8.0,1.0,59.0,195.0,91.0,17.0,18.0,6.0,4.0,16.0,1.0,5.0,6.0,8148,2974.0,2015_万汇百货,1609.4329605736566,2015,万汇百货,-0.07854291545103156,0.07854291545103156
38,2015_万盛百货,16304.0,8734.0,7570.0,1450.0,False,379.0,4.0,3.0,48.0,107.0,52.0,4.0,8.0,1.0,1.0,10.0,0.0,6.0,6.0,1462,4404.0,2015_万盛百货,3105.5112828978463,2015,万盛百货,0.4317318031007895,0.4317318031007895
39,2015_万福商业街路口,14.0,14.0,0.0,3835.0,False,316.0,12.0,4.0,56.0,127.0,58.0,9.0,14.0,0.0,6.0,10.0,0.0,4.0,10.0,3864,11891.0,2015_万福商业街路口,1858.8091686190385,2015,万福商业街路口,0.42779794408275945,0.42779794408275945
40,2015_万福广场,35588.0,19804.0,15784.0,2118.0,False,705.0,4.0,38.0,72.0,258.0,128.0,10.0,40.0,6.0,12.0,19.0,2.0,7.0,14.0,2145,5800.0,2015_万福广场,4594.5500482335565,2015,万福广场,0.8780390570310163,0.8780390570310163
42,2015_万科中心,3344.0,1536.0,1808.0,967.0,False,260.0,12.0,14.0,19.0,65.0,48.0,7.0,44.0,11.0,16.0,9.0,0.0,3.0,17.0,965,3550.0,2015_万科中心,6552.215352131225,2015,万科中心,0.9997767783662284,0.9997767783662284
45,2015_万科五园幼儿园,2844.0,1506.0,1338.0,1592.0,False,530.0,26.0,36.0,68.0,126.0,112.0,24.0,42.0,2.0,12.0,13.0,0.0,5.0,9.0,1604,5145.0,2015_万科五园幼儿园,1426.815042801305,2015,万科五园幼儿园,0.059539939226285615,0.059539939226285615
46,2015_万科十七英里,1220.0,726.0,494.0,4749.0,False,47.0,0.0,2.0,3.0,6.0,6.0,7.0,8.0,0.0,3.0,0.0,0.0,0.0,4.0,4851,604.0,2015_万科十七英里,7759.92532802403,2015,万科十七英里,0.2849920962311253,0.2849920962311253
47,2015_万科城,13928.0,7722.0,6206.0,1287.0,False,478.0,6.0,16.0,63.0,95.0,87.0,13.0,36.0,0.0,9.0,15.0,0.0,13.0,3.0,1299,3072.0,2015_万科城,2861.988392592943,2015,万科城,0.15757096316528246,0.15757096316528246
52,2015_万科科技园,9054.0,4946.0,4108.0,4850.0,False,64.0,0.0,8.0,4.0,14.0,7.0,2.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,4967,3149.0,2015_万科科技园,2421.353874454825,2015,万科科技园,-0.1868289313018213,0.1868289313018213
54,2015_万科第五园总站,6514.0,3904.0,2610.0,3563.0,False,729.0,4.0,13.0,102.0,221.0,232.0,48.0,50.0,5.0,15.0,27.0,0.0,9.0,4.0,3592,2374.0,2015_万科第五园总站,2433.832598873389,2015,万科第五园总站,-0.6993714746443392,0.6993714746443392
55,2015_万科第五园西,4.0,2.0,2.0,7663.0,False,93.0,2.0,6.0,5.0,5.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,7936,7152.0,2015_万科第五园西,26601.31448247688,2015,万科第五园西,-0.25258988824749473,0.25258988824749473
57,2015_万科金域东郡,6.0,4.0,2.0,4312.0,False,12.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,4340,542.0,2015_万科金域东郡,4732.615632210197,2015,万科金域东郡,-0.9668537108726433,0.9668537108726433
58,2015_万联商场,17766.0,9442.0,8324.0,2412.0,False,886.0,4.0,8.0,67.0,293.0,75.0,22.0,20.0,7.0,9.0,15.0,1.0,9.0,21.0,2454,3308.0,2015_万联商场,5951.156995860227,2015,万联商场,-0.9331723987792184,0.9331723987792184
59,2015_万胜电子厂,1026.0,630.0,396.0,4559.0,False,52.0,0.0,0.0,8.0,9.0,19.0,0.0,8.0,0.0,3.0,1.0,0.0,1.0,0.0,4661,2980.0,2015_万胜电子厂,1529.4747054378702,2015,万胜电子厂,0.04704949588333762,0.04704949588333762
63,2015_万里红,1686.0,972.0,714.0,3848.0,False,30.0,2.0,2.0,3.0,3.0,3.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,3877,1110.0,2015_万里红,2380.1409999987422,2015,万里红,0.982459397239451,0.982459397239451
64,2015_万隆制品厂,4362.0,2394.0,1968.0,5913.0,False,19.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,6158,2519.0,2015_万隆制品厂,4261.863256589556,2015,万隆制品厂,0.5359630444215191,0.5359630444215191
67,2015_三区金融街,676.0,392.0,284.0,1988.0,False,555.0,20.0,30.0,91.0,132.0,43.0,51.0,104.0,36.0,19.0,17.0,2.0,46.0,15.0,2000,7374.0,2015_三区金融街,3443.6607225013995,2015,三区金融街,0.3861846058190566,0.3861846058190566
69,2015_三合华侨新村,12384.0,7770.0,4614.0,3680.0,False,460.0,4.0,33.0,43.0,118.0,64.0,7.0,4.0,0.0,11.0,15.0,0.0,6.0,8.0,3709,5476.0,2015_三合华侨新村,1912.796041357464,2015,三合华侨新村,-0.09953995265092934,0.09953995265092934
70,2015_三和百货,8326.0,4672.0,3654.0,2410.0,False,753.0,0.0,19.0,109.0,412.0,115.0,11.0,36.0,2.0,14.0,16.0,0.0,7.0,21.0,2452,6462.0,2015_三和百货,5528.541883276483,2015,三和百货,0.883895567647252,0.883895567647252
73,2015_三围路口,47634.0,27022.0,20612.0,1553.0,False,56.0,48.0,4.0,5.0,7.0,4.0,0.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,1565,13559.0,2015_三围路口,5709.137125961088,2015,三围路口,0.7927831867829244,0.7927831867829244
77,2015_三民工业区,40.0,22.0,18.0,2636.0,False,152.0,10.0,9.0,14.0,28.0,22.0,2.0,18.0,3.0,3.0,5.0,0.0,5.0,1.0,2665,1979.0,2015_三民工业区,1704.3228967339264,2015,三民工业区,0.9780692773962936,0.9780692773962936
78,2015_三洋湖,11350.0,5796.0,5554.0,1812.0,False,849.0,2.0,11.0,92.0,444.0,148.0,24.0,26.0,14.0,15.0,26.0,0.0,8.0,5.0,1824,3596.0,2015_三洋湖,4086.918576969719,2015,三洋湖,0.97742170306652,0.97742170306652
79,2015_三洋部件厂,3620.0,1986.0,1634.0,2295.0,False,48.0,2.0,4.0,3.0,14.0,16.0,0.0,4.0,0.0,2.0,2.0,0.0,2.0,1.0,2337,2018.0,2015_三洋部件厂,2461.737896955906,2015,三洋部件厂,0.6323577908501624,0.6323577908501624
80,2015_三联广场,118.0,52.0,66.0,1145.0,False,608.0,0.0,19.0,46.0,287.0,50.0,5.0,28.0,1.0,9.0,13.0,0.0,9.0,3.0,1143,4192.0,2015_三联广场,2726.889017515608,2015,三联广场,-0.6474030821361745,0.6474030821361745
82,2015_三联村委,17584.0,9780.0,7804.0,1455.0,False,605.0,8.0,92.0,61.0,203.0,65.0,7.0,18.0,6.0,5.0,23.0,0.0,5.0,7.0,1467,13793.0,2015_三联村委,2713.861267332347,2015,三联村委,-0.7268428812983116,0.7268428812983116
